+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
| 1483      | 11062                 | 1560.7600209278282        | -2147472250        | 2147461301         | 953754   |
| 190994    | 0                     | 1593.6424900663992        | -2147469408        | 2147454560         | 912811   |
| 95978     | 0                     | 1383.889513521246         | -2147442343        | 2147482902         | 866821   |
| 256004    | 136409                | 1546.2189590915898        | -2147483530        | 2147469056         | 848163   |
| 186300    | 2794                  | 1592.1581742905164        | -2147446503        | 2147421802         | 787157   |
| 62        | 5464                  | 1596.8692492472546        | -2147416458        | 2147482601         | 722688   |
| 7525      | 14                    | 1606.3068555822047        | -2147292467        | 2147451348         | 721310   |
| 132048    | 5171                  | 1588.0138308178666        | -2146971848        | 2147287093         | 706032   |
| 1095      | 6                     | 1555.174314179154         | -2147416458        | 2147398180         | 663876   |
| 63217     | 43086                 | 1582.20084946912          | -2147482647        | 2147461105         | 654291   |
| 3035      | 14                    | 1372.7424205792756        | -2147474093        | 2147482601         | 641111   |
| 146891    | 172                   | 1484.8275814011365        | -2147446942        | 2147470471         | 602725   |
| 44779     | 0                     | 1564.2685807561745        | -2147387972        | 2147467531         | 577089   |
| 220992    | 8538                  | 1538.9929521705958        | -2146672890        | 2147482601         | 486249   |
| 226383    | 297706                | 1579.6374030127695        | -2147284173        | 2147385721         | 460241   |
| 163373    | 0                     | 1097.8606905508107        | -2147361397        | 2147481015         | 452769   |
| 135316    | 0                     | 1462.6038359372897        | -2147268230        | 2147479990         | 445732   |
| 35534     | 20596                 | 1476.9276895414353        | -2147440917        | 2147464164         | 433243   |
| 109363    | 128324                | 1531.5244210975522        | -2147248123        | 2147403385         | 393676   |
| 96948     | 0                     | 1553.243569451961         | -2146981895        | 2147481248         | 391724   |
| 95427     | 2101                  | 1570.5860083636853        | -2147206008        | 2147362690         | 370650   |
| 56820     | 266                   | 1351.429497215831         | -2147444390        | 2147482601         | 367255   |
| 188878    | 56                    | 1563.9724717700767        | -2146946969        | 2147482601         | 292863   |
| 158401    | 24052                 | 1566.6742748269694        | -2146825212        | 2147405606         | 282898   |
| 180215    | 0                     | 1490.8007634332105        | -2147395723        | 2147331218         | 276907   |
| 2264      | 32                    | 1418.5216919268685        | -2147482581        | 2147466929         | 276324   |
| 180984    | 494                   | 1559.8557474182553        | -2147276798        | 2147435914         | 273749   |
| 38        | 39593                 | 1600.66155385385          | -2147061241        | 2147290588         | 259870   |
| 76325     | 0                     | 1324.7730110619896        | -2147347124        | 2147334220         | 258995   |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| 199550    | 14833                 | 1569.5729121039203        | -2147483530        | 2147482511         | 7008754  |
| 105857    | 767                   | 1600.0049531268482        | -2147481662        | 2147482601         | 5714572  |
| 3922      | 69748                 | 1565.522122631057         | -2147438058        | 2147481248         | 5361252  |
| 46429     | 322229                | 1520.492483693668         | -2147428129        | 2147481248         | 4404424  |
| 122612    | 4418                  | 1515.2720897694896        | -2147481102        | 2147472501         | 3542228  |
| 244045    | 1053                  | 1521.5629963493307        | -2147469408        | 2147481248         | 3306517  |
| 225510    | 54                    | 1613.2779933692998        | -2147376531        | 2147472370         | 3205393  |
| 233773    | 16891                 | 1583.0041100489084        | -2147359049        | 2147463394         | 2916267  |
| 178321    | 1034                  | 1528.694438291491         | -2147440224        | 2147481248         | 2631979  |
| 245438    | 0                     | 1465.3739977221608        | -2147479495        | 2147469856         | 2446178  |
| 99062     | 174967                | 1548.932554072587         | -2147458652        | 2147473668         | 2385081  |
| 145496    | 0                     | 1382.8287524636721        | -2147468331        | 2147450056         | 2066529  |
| 123906    | 0                     | 1560.9641655868268        | -2147469408        | 2147481248         | 1229349  |
| 190147    | 28                    | 1513.419295215458         | -2147437263        | 2147474586         | 1180531  |
| 117917    | 7631                  | 1602.4351693465617        | -2147465746        | 2147478621         | 1148739  |
| 119677    | 81                    | 1398.2569746643298        | -2147462292        | 2147482601         | 1108082  |
| 229540    | 0                     | 1129.5481221868095        | -2147230711        | 2147385036         | 1105062  |
| 128858    | 32                    | 1585.3460789942799        | -2147465501        | 2147479403         | 1064153  |
| 69154     | 54441                 | 1404.362525574049         | -2147483530        | 2147466334         | 1037673  |
| 5822      | 0                     | 1452.74037493121          | -2147343307        | 2147226007         | 1037577  |
| 140443    | 0                     | 1472.9053078385014        | -2147416458        | 2147455534         | 991835   |
| 1483      | 11062                 | 1560.7600209278282        | -2147472250        | 2147461301         | 953754   |
| 190994    | 0                     | 1593.6424900663992        | -2147469408        | 2147454560         | 912811   |
| 95978     | 0                     | 1383.889513521246         | -2147442343        | 2147482902         | 866821   |
| 256004    | 136409                | 1546.2189590915898        | -2147483530        | 2147469056         | 848163   |
| 186300    | 2794                  | 1592.1581742905164        | -2147446503        | 2147421802         | 787157   |
| 62        | 5464                  | 1596.8692492472546        | -2147416458        | 2147482601         | 722688   |
| 7525      | 14                    | 1606.3068555822047        | -2147292467        | 2147451348         | 721310   |
| 132048    | 5171                  | 1588.0138308178666        | -2146971848        | 2147287093         | 706032   |
| 1095      | 6                     | 1555.174314179154         | -2147416458        | 2147398180         | 663876   |
| 63217     | 43086                 | 1582.20084946912          | -2147482647        | 2147461105         | 654291   |
| 3035      | 14                    | 1372.7424205792756        | -2147474093        | 2147482601         | 641111   |
| 146891    | 172                   | 1484.8275814011365        | -2147446942        | 2147470471         | 602725   |
| 44779     | 0                     | 1564.2685807561745        | -2147387972        | 2147467531         | 577089   |
| 220992    | 8538                  | 1538.9929521705958        | -2146672890        | 2147482601         | 486249   |
| 226383    | 297706                | 1579.6374030127695        | -2147284173        | 2147385721         | 460241   |
| 163373    | 0                     | 1097.8606905508107        | -2147361397        | 2147481015         | 452769   |
| 135316    | 0                     | 1462.6038359372897        | -2147268230        | 2147479990         | 445732   |
| 35534     | 20596                 | 1476.9276895414353        | -2147440917        | 2147464164         | 433243   |
| 109363    | 128324                | 1531.5244210975522        | -2147248123        | 2147403385         | 393676   |
| 96948     | 0                     | 1553.243569451961         | -2146981895        | 2147481248         | 391724   |
| 95427     | 2101                  | 1570.5860083636853        | -2147206008        | 2147362690         | 370650   |
| 56820     | 266                   | 1351.429497215831         | -2147444390        | 2147482601         | 367255   |
| 188878    | 56                    | 1563.9724717700767        | -2146946969        | 2147482601         | 292863   |
| 158401    | 24052                 | 1566.6742748269694        | -2146825212        | 2147405606         | 282898   |
| 180215    | 0                     | 1490.8007634332105        | -2147395723        | 2147331218         | 276907   |
| 2264      | 32                    | 1418.5216919268685        | -2147482581        | 2147466929         | 276324   |
| 180984    | 494                   | 1559.8557474182553        | -2147276798        | 2147435914         | 273749   |
| 38        | 39593                 | 1600.66155385385          | -2147061241        | 2147290588         | 259870   |
| 76325     | 0                     | 1324.7730110619896        | -2147347124        | 2147334220         | 258995   |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| 199550    | 14833                 | 1569.5729121039203        | -2147483530        | 2147482511         | 7008754  |
| 105857    | 767                   | 1600.0049531268482        | -2147481662        | 2147482601         | 5714572  |
| 3922      | 69748                 | 1565.522122631057         | -2147438058        | 2147481248         | 5361252  |
| 46429     | 322229                | 1520.492483693668         | -2147428129        | 2147481248         | 4404424  |
| 122612    | 4418                  | 1515.2720897694896        | -2147481102        | 2147472501         | 3542228  |
| 244045    | 1053                  | 1521.5629963493307        | -2147469408        | 2147481248         | 3306517  |
| 225510    | 54                    | 1613.2779933692998        | -2147376531        | 2147472370         | 3205393  |
| 233773    | 16891                 | 1583.0041100489084        | -2147359049        | 2147463394         | 2916267  |
| 178321    | 1034                  | 1528.694438291491         | -2147440224        | 2147481248         | 2631979  |
| 245438    | 0                     | 1465.3739977221608        | -2147479495        | 2147469856         | 2446178  |
| 99062     | 174967                | 1548.932554072587         | -2147458652        | 2147473668         | 2385081  |
| 145496    | 0                     | 1382.8287524636721        | -2147468331        | 2147450056         | 2066529  |
| 123906    | 0                     | 1560.9641655868268        | -2147469408        | 2147481248         | 1229349  |
| 190147    | 28                    | 1513.419295215458         | -2147437263        | 2147474586         | 1180531  |
| 117917    | 7631                  | 1602.4351693465617        | -2147465746        | 2147478621         | 1148739  |
| 119677    | 81                    | 1398.2569746643298        | -2147462292        | 2147482601         | 1108082  |
| 229540    | 0                     | 1129.5481221868095        | -2147230711        | 2147385036         | 1105062  |
| 128858    | 32                    | 1585.3460789942799        | -2147465501        | 2147479403         | 1064153  |
| 69154     | 54441                 | 1404.362525574049         | -2147483530        | 2147466334         | 1037673  |
| 5822      | 0                     | 1452.74037493121          | -2147343307        | 2147226007         | 1037577  |
| 140443    | 0                     | 1472.9053078385014        | -2147416458        | 2147455534         | 991835   |
| 1483      | 11062                 | 1560.7600209278282        | -2147472250        | 2147461301         | 953754   |
| 190994    | 0                     | 1593.6424900663992        | -2147469408        | 2147454560         | 912811   |
| 95978     | 0                     | 1383.889513521246         | -2147442343        | 2147482902         | 866821   |
| 256004    | 136409                | 1546.2189590915898        | -2147483530        | 2147469056         | 848163   |
| 186300    | 2794                  | 1592.1581742905164        | -2147446503        | 2147421802         | 787157   |
| 62        | 5464                  | 1596.8692492472546        | -2147416458        | 2147482601         | 722688   |
| 7525      | 14                    | 1606.3068555822047        | -2147292467        | 2147451348         | 721310   |
| 132048    | 5171                  | 1588.0138308178666        | -2146971848        | 2147287093         | 706032   |
| 1095      | 6                     | 1555.174314179154         | -2147416458        | 2147398180         | 663876   |
| 63217     | 43086                 | 1582.20084946912          | -2147482647        | 2147461105         | 654291   |
| 3035      | 14                    | 1372.7424205792756        | -2147474093        | 2147482601         | 641111   |
| 146891    | 172                   | 1484.8275814011365        | -2147446942        | 2147470471         | 602725   |
| 44779     | 0                     | 1564.2685807561745        | -2147387972        | 2147467531         | 577089   |
| 220992    | 8538                  | 1538.9929521705958        | -2146672890        | 2147482601         | 486249   |
| 226383    | 297706                | 1579.6374030127695        | -2147284173        | 2147385721         | 460241   |
| 163373    | 0                     | 1097.8606905508107        | -2147361397        | 2147481015         | 452769   |
| 135316    | 0                     | 1462.6038359372897        | -2147268230        | 2147479990         | 445732   |
| 35534     | 20596                 | 1476.9276895414353        | -2147440917        | 2147464164         | 433243   |
| 109363    | 128324                | 1531.5244210975522        | -2147248123        | 2147403385         | 393676   |
| 96948     | 0                     | 1553.243569451961         | -2146981895        | 2147481248         | 391724   |
| 95427     | 2101                  | 1570.5860083636853        | -2147206008        | 2147362690         | 370650   |
| 56820     | 266                   | 1351.429497215831         | -2147444390        | 2147482601         | 367255   |
| 188878    | 56                    | 1563.9724717700767        | -2146946969        | 2147482601         | 292863   |
| 158401    | 24052                 | 1566.6742748269694        | -2146825212        | 2147405606         | 282898   |
| 180215    | 0                     | 1490.8007634332105        | -2147395723        | 2147331218         | 276907   |
| 2264      | 32                    | 1418.5216919268685        | -2147482581        | 2147466929         | 276324   |
| 180984    | 494                   | 1559.8557474182553        | -2147276798        | 2147435914         | 273749   |
| 38        | 39593                 | 1600.66155385385          | -2147061241        | 2147290588         | 259870   |
| 76325     | 0                     | 1324.7730110619896        | -2147347124        | 2147334220         | 258995   |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| 199550    | 14833                 | 1569.5729121039203        | -2147483530        | 2147482511         | 7008754  |
| 105857    | 767                   | 1600.0049531268482        | -2147481662        | 2147482601         | 5714572  |
| 3922      | 69748                 | 1565.522122631057         | -2147438058        | 2147481248         | 5361252  |
| 46429     | 322229                | 1520.492483693668         | -2147428129        | 2147481248         | 4404424  |
| 122612    | 4418                  | 1515.2720897694896        | -2147481102        | 2147472501         | 3542228  |
| 244045    | 1053                  | 1521.5629963493307        | -2147469408        | 2147481248         | 3306517  |
| 225510    | 54                    | 1613.2779933692998        | -2147376531        | 2147472370         | 3205393  |
| 233773    | 16891                 | 1583.0041100489084        | -2147359049        | 2147463394         | 2916267  |
| 178321    | 1034                  | 1528.694438291491         | -2147440224        | 2147481248         | 2631979  |
| 245438    | 0                     | 1465.3739977221608        | -2147479495        | 2147469856         | 2446178  |
| 99062     | 174967                | 1548.932554072587         | -2147458652        | 2147473668         | 2385081  |
| 145496    | 0                     | 1382.8287524636721        | -2147468331        | 2147450056         | 2066529  |
| 123906    | 0                     | 1560.9641655868268        | -2147469408        | 2147481248         | 1229349  |
| 190147    | 28                    | 1513.419295215458         | -2147437263        | 2147474586         | 1180531  |
| 117917    | 7631                  | 1602.4351693465617        | -2147465746        | 2147478621         | 1148739  |
| 119677    | 81                    | 1398.2569746643298        | -2147462292        | 2147482601         | 1108082  |
| 229540    | 0                     | 1129.5481221868095        | -2147230711        | 2147385036         | 1105062  |
| 128858    | 32                    | 1585.3460789942799        | -2147465501        | 2147479403         | 1064153  |
| 69154     | 54441                 | 1404.362525574049         | -2147483530        | 2147466334         | 1037673  |
| 5822      | 0                     | 1452.74037493121          | -2147343307        | 2147226007         | 1037577  |
| 140443    | 0                     | 1472.9053078385014        | -2147416458        | 2147455534         | 991835   |
| 1483      | 11062                 | 1560.7600209278282        | -2147472250        | 2147461301         | 953754   |
| 190994    | 0                     | 1593.6424900663992        | -2147469408        | 2147454560         | 912811   |
| 95978     | 0                     | 1383.889513521246         | -2147442343        | 2147482902         | 866821   |
| 256004    | 136409                | 1546.2189590915898        | -2147483530        | 2147469056         | 848163   |
| 186300    | 2794                  | 1592.1581742905164        | -2147446503        | 2147421802         | 787157   |
| 62        | 5464                  | 1596.8692492472546        | -2147416458        | 2147482601         | 722688   |
| 7525      | 14                    | 1606.3068555822047        | -2147292467        | 2147451348         | 721310   |
| 132048    | 5171                  | 1588.0138308178666        | -2146971848        | 2147287093         | 706032   |
| 1095      | 6                     | 1555.174314179154         | -2147416458        | 2147398180         | 663876   |
| 63217     | 43086                 | 1582.20084946912          | -2147482647        | 2147461105         | 654291   |
| 3035      | 14                    | 1372.7424205792756        | -2147474093        | 2147482601         | 641111   |
| 146891    | 172                   | 1484.8275814011365        | -2147446942        | 2147470471         | 602725   |
| 44779     | 0                     | 1564.2685807561745        | -2147387972        | 2147467531         | 577089   |
| 220992    | 8538                  | 1538.9929521705958        | -2146672890        | 2147482601         | 486249   |
| 226383    | 297706                | 1579.6374030127695        | -2147284173        | 2147385721         | 460241   |
| 163373    | 0                     | 1097.8606905508107        | -2147361397        | 2147481015         | 452769   |
| 135316    | 0                     | 1462.6038359372897        | -2147268230        | 2147479990         | 445732   |
| 35534     | 20596                 | 1476.9276895414353        | -2147440917        | 2147464164         | 433243   |
| 109363    | 128324                | 1531.5244210975522        | -2147248123        | 2147403385         | 393676   |
| 96948     | 0                     | 1553.243569451961         | -2146981895        | 2147481248         | 391724   |
| 95427     | 2101                  | 1570.5860083636853        | -2147206008        | 2147362690         | 370650   |
| 56820     | 266                   | 1351.429497215831         | -2147444390        | 2147482601         | 367255   |
| 188878    | 56                    | 1563.9724717700767        | -2146946969        | 2147482601         | 292863   |
| 158401    | 24052                 | 1566.6742748269694        | -2146825212        | 2147405606         | 282898   |
| 180215    | 0                     | 1490.8007634332105        | -2147395723        | 2147331218         | 276907   |
| 2264      | 32                    | 1418.5216919268685        | -2147482581        | 2147466929         | 276324   |
| 180984    | 494                   | 1559.8557474182553        | -2147276798        | 2147435914         | 273749   |
| 38        | 39593                 | 1600.66155385385          | -2147061241        | 2147290588         | 259870   |
| 76325     | 0                     | 1324.7730110619896        | -2147347124        | 2147334220         | 258995   |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| 199550    | 14833                 | 1569.5729121039203        | -2147483530        | 2147482511         | 7008754  |
| 105857    | 767                   | 1600.0049531268482        | -2147481662        | 2147482601         | 5714572  |
| 3922      | 69748                 | 1565.522122631057         | -2147438058        | 2147481248         | 5361252  |
| 46429     | 322229                | 1520.492483693668         | -2147428129        | 2147481248         | 4404424  |
| 122612    | 4418                  | 1515.2720897694896        | -2147481102        | 2147472501         | 3542228  |
| 244045    | 1053                  | 1521.5629963493307        | -2147469408        | 2147481248         | 3306517  |
| 225510    | 54                    | 1613.2779933692998        | -2147376531        | 2147472370         | 3205393  |
| 233773    | 16891                 | 1583.0041100489084        | -2147359049        | 2147463394         | 2916267  |
| 178321    | 1034                  | 1528.694438291491         | -2147440224        | 2147481248         | 2631979  |
| 245438    | 0                     | 1465.3739977221608        | -2147479495        | 2147469856         | 2446178  |
| 99062     | 174967                | 1548.932554072587         | -2147458652        | 2147473668         | 2385081  |
| 145496    | 0                     | 1382.8287524636721        | -2147468331        | 2147450056         | 2066529  |
| 123906    | 0                     | 1560.9641655868268        | -2147469408        | 2147481248         | 1229349  |
| 190147    | 28                    | 1513.419295215458         | -2147437263        | 2147474586         | 1180531  |
| 117917    | 7631                  | 1602.4351693465617        | -2147465746        | 2147478621         | 1148739  |
| 119677    | 81                    | 1398.2569746643298        | -2147462292        | 2147482601         | 1108082  |
| 229540    | 0                     | 1129.5481221868095        | -2147230711        | 2147385036         | 1105062  |
| 128858    | 32                    | 1585.3460789942799        | -2147465501        | 2147479403         | 1064153  |
| 69154     | 54441                 | 1404.362525574049         | -2147483530        | 2147466334         | 1037673  |
| 5822      | 0                     | 1452.74037493121          | -2147343307        | 2147226007         | 1037577  |
| 140443    | 0                     | 1472.9053078385014        | -2147416458        | 2147455534         | 991835   |
| 1483      | 11062                 | 1560.7600209278282        | -2147472250        | 2147461301         | 953754   |
| 190994    | 0                     | 1593.6424900663992        | -2147469408        | 2147454560         | 912811   |
| 95978     | 0                     | 1383.889513521246         | -2147442343        | 2147482902         | 866821   |
| 256004    | 136409                | 1546.2189590915898        | -2147483530        | 2147469056         | 848163   |
| 186300    | 2794                  | 1592.1581742905164        | -2147446503        | 2147421802         | 787157   |
| 62        | 5464                  | 1596.8692492472546        | -2147416458        | 2147482601         | 722688   |
| 7525      | 14                    | 1606.3068555822047        | -2147292467        | 2147451348         | 721310   |
| 132048    | 5171                  | 1588.0138308178666        | -2146971848        | 2147287093         | 706032   |
| 1095      | 6                     | 1555.174314179154         | -2147416458        | 2147398180         | 663876   |
| 63217     | 43086                 | 1582.20084946912          | -2147482647        | 2147461105         | 654291   |
| 3035      | 14                    | 1372.7424205792756        | -2147474093        | 2147482601         | 641111   |
| 146891    | 172                   | 1484.8275814011365        | -2147446942        | 2147470471         | 602725   |
| 44779     | 0                     | 1564.2685807561745        | -2147387972        | 2147467531         | 577089   |
| 220992    | 8538                  | 1538.9929521705958        | -2146672890        | 2147482601         | 486249   |
| 226383    | 297706                | 1579.6374030127695        | -2147284173        | 2147385721         | 460241   |
| 163373    | 0                     | 1097.8606905508107        | -2147361397        | 2147481015         | 452769   |
| 135316    | 0                     | 1462.6038359372897        | -2147268230        | 2147479990         | 445732   |
| 35534     | 20596                 | 1476.9276895414353        | -2147440917        | 2147464164         | 433243   |
| 109363    | 128324                | 1531.5244210975522        | -2147248123        | 2147403385         | 393676   |
| 96948     | 0                     | 1553.243569451961         | -2146981895        | 2147481248         | 391724   |
| 95427     | 2101                  | 1570.5860083636853        | -2147206008        | 2147362690         | 370650   |
| 56820     | 266                   | 1351.429497215831         | -2147444390        | 2147482601         | 367255   |
| 188878    | 56                    | 1563.9724717700767        | -2146946969        | 2147482601         | 292863   |
| 158401    | 24052                 | 1566.6742748269694        | -2146825212        | 2147405606         | 282898   |
| 180215    | 0                     | 1490.8007634332105        | -2147395723        | 2147331218         | 276907   |
| 2264      | 32                    | 1418.5216919268685        | -2147482581        | 2147466929         | 276324   |
| 180984    | 494                   | 1559.8557474182553        | -2147276798        | 2147435914         | 273749   |
| 38        | 39593                 | 1600.66155385385          | -2147061241        | 2147290588         | 259870   |
| 76325     | 0                     | 1324.7730110619896        | -2147347124        | 2147334220         | 258995   |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
